"roms1","roms2","var"
"H2","temp_bottom_40_47N_50_200m","DDpre"
"H3","temp_bottom_40_47N_250_500m","Tpre.a"
"H4","temp_250_500m_40_47N_250_500m","Tpre.b"
"H8","temp_50_200m_40_47N_250_500m","DDegg1"
"H11","temp_200_500m_40_47N_250_500m","DDegg2"
"H15","temp_0_50m_40_47N_50_150km","DDlarv"
"H19","temp_0_150m_40_47N_80_120km","DDpjuv"
"H5","mld_40_47N_250_500m","MLDegg"
"H6","ualong_50_200m_40_47N_250_500m","LSTegg"
"H9","ualong_200_500m_40_47N_250_500m","CSTegg2"
"H13","ualong_0_50m_40_47N_50_150km","LSTlarv"
"H17","ualong_0_150m_40_47N_80_120km","LSTpjuv"
"H20a","ualong_bottom_40_47N_50_150m","LSTbjuv.a"
"H20b","ualong_bottom_40_47N_150_500m","LSTbjuv.b"
"H7","ucross_50_200m_40_47N_250_500m","CSTegg1"
"H10","ucross_200_500m_40_47N_250_500m","LSTegg2"
"H14","ucross_0_50m_40_47N_50_150km","CSTlarv"
"H18","ucross_0_150m_40_47N_80_120km","CSTpjuv"
"H21a","ucross_bottom_40_47N_50_150m","CSTbjuv.a"
"H21b","ucross_bottom_40_47N_150_500m","CSTbjuv.b"
"H12",NA,NA
"H16",NA,NA
